STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
18;V.3.Quản lý rủi ro công nghệ thông tin ;V.2;Theo Thông tư 09/2020/TT-NHNN, đơn vị phải thực hiện kiểm tra, đánh giá an toàn hệ thống thông tin đối với hệ thống cấp độ 3 tối thiểu bao nhiêu lâu một lần?;Ít nhất 6 tháng một lần;Ít nhất 1 năm một lần;Ít nhất 2 năm một lần;Chỉ kiểm tra khi có sự cố;B;Thông tư 09/2020/TT-NHNN;Điều 42;;;;;;;;;;;;;;;
19;V.3.Quản lý rủi ro công nghệ thông tin ;V.3 ;Theo Luật số 91/2025/QH15 về bảo vệ dữ liệu cá nhân, hành vi nào sau đây bị nghiêm cấm đối với dữ liệu cá nhân trong ngân hàng?;Mua bán, chuyển giao trái phép dữ liệu cá nhân của khách hàng cho bên thứ ba;Chào mời khách hàng sử dụng dịch vụ mới của ngân hàng (nếu khách hàng đã đồng ý nhận quảng cáo);Lưu trữ dữ liệu khách hàng trên máy chủ tại Việt Nam;Cung cấp dữ liệu khách hàng cho cơ quan Công an theo yêu cầu của pháp luật;A;Luật Bảo vệ dữ liệu cá nhân số 91/2025/QH15;Điều 7;;;;;;;;;;;;;;;
20;V.3.Quản lý rủi ro công nghệ thông tin ;V.3 ;Tại Thông tư 77/2025/TT-NHNN, nội dung nào sau đây là một trong những quy định nhằm giảm thiểu rủi ro khi cung cấp ứng dụng ngân hàng trên thiết bị di động?;Khuyến khích khách hàng cài đặt các ứng dụng từ nguồn không xác định (File APK);"Ứng dụng Mobile Banking của tổ chức phải tự động thoát hoặc dừng hoạt động và thông báo cho khách hàng nếu phát hiện thiết bị của khách hàng đã bị phá khóa (root / jailbreak);";Ngân hàng phải chịu mọi trách nhiệm nếu khách hàng bị mất tiền do lộ mật khẩu;Cho phép một ứng dụng ngân hàng đăng nhập cùng lúc trên 10 thiết bị khác nhau;B;Thông tư 77/2025/TT-NHNN;Điều 5;;;;;;;;;;;;;;;
21;V.3.Quản lý rủi ro công nghệ thông tin ;V.3 ;"Để hạn chế rủi ro ""Deepfake"" trong xác thực khuôn mặt, Thông tư 77/2025/TT-NHNN khuyến nghị áp dụng công nghệ gì?";Công nghệ nhận diện ảnh tĩnh;Công nghệ phát hiện tấn công giả mạo thông tin sinh trắc học của vật thể sống (Presentation Attack Detection - PAD);Công nghệ vẽ lại khuôn mặt khách hàng;Không cần công nghệ nào, chỉ cần mắt thường nhân viên nhìn qua video call;B;Thông tư 77/2025/TT-NHNN;Điều 7;;;;;;;;;;;;;;;
22;V.3.Quản lý rủi ro công nghệ thông tin ;V.3 ;Theo Luật An ninh mạng số 116/2025/QH15, khi nhận được yêu cầu từ cơ quan chuyên trách an ninh mạng về việc gỡ bỏ dịch vụ có nội dung vi phạm pháp luật, chủ quản hệ thống có thời gian bao lâu để thực hiện?;Trong vòng 24 giờ kể từ thời điểm nhận được yêu cầu;Trong vòng 48 giờ;Trong vòng 1 tuần;Khi nào thấy thuận tiện thì thực hiện;A;Luật An ninh mạng số 116/2025/QH15;Điều 25;;;;;;;;;;;;;;;
23;V.3.Quản lý rủi ro công nghệ thông tin ;V.3 ;Nội dung nào sau đây là một trong những yêu cầu đối với các tổ chức tín dụng, tổ chức cung ứng dịch vụ trung gian thanh toán, công ty thông tin tín dụng tại Chỉ thị 02/CT-NHNN năm 2026;Tăng số lượng giao dịch;Mở rộng quy mô, chi nhánh của tổ chức;Bố trí kinh phí chi cho các sản phẩm, dịch vụ an ninh mạng, bảo mật thông tin, dữ liệu với tỷ lệ 10% tổng kinh phí triển khai;Bảo đảm tính thống nhất, đồng bộ, kết nối hệ thống trong các ứng dụng và sản phẩm kỳ thuật số, từ đó nâng cao hiệu quả hoạt động, sự hài lòng và gắn bó của khách hàng;D;Chỉ thị 02/CT-NHNN năm 2026;III.2;;;;;;;;;;;;;;;
24;V.3.Quản lý rủi ro công nghệ thông tin ;V.3 ;Email lừa đảo (phishing email) thường có đặc điểm nào sau đây?;Được gửi từ tên miền chính thức của ngân hàng;Chứa đường link có tên gần giống với trang web chính thức của các thương hiệu, ngân hàng, ... và thường kèm theo thông điệp kêu gọi người dùng bấm vào đường link đính kèm.;Không có bất kỳ nội dung kêu gọi hành động;Luôn đi kèm thông cáo báo chí chính thức;B;Thông tư 09/2020/TT-NHNN;Điều 27;;;;;;;;;;;;;;;
25;V.3.Quản lý rủi ro công nghệ thông tin ;V.3;Khi thẩm định rủi ro đối với đơn vị thuê ngoài quản lý hệ thống thẻ, ngân hàng phát hiện họ dùng mạng riêng ảo (VPN) chung cho nhiều khách hàng. Ngân hàng phải xử lý rủi ro này như thế nào để bảo đảm an toàn và tuân thủ?;Chấp nhận nếu giá thuê rẻ.;Yêu cầu tách biệt hoàn toàn kết nối truy cập, bảo đảm định danh và giám sát riêng biệt cho ngân hàng;Yêu cầu họ cài phần mềm diệt virus mạnh hơn.;Chỉ cần ký cam kết bảo mật thông tin.;B;Thông tư 09/2020/TT-NHNN;Điều 36;;;;;;;;;;;;;;;
26;V.4.Phòng chống gian lận (Fraud Detection);V.3;Hành vi nào sau đây tạo điều kiện trực tiếp nhất để kẻ gian chiếm đoạt tài khoản khách hàng?;Sử dụng mạng wifi công cộng;Cung cấp mật khẩu và mã OTP cho người lạ;Nhấp vào đường link trong tin nhắn không rõ nguồn gốc;Kích hoạt tính năng xác thực sinh trắc học trên ứng dụng;B;Thông tư 50/2024/TT-NHNN;khoản 2 Điều 18;;;;;;;;;;;;;;;
27;V.4.Phòng chống gian lận (Fraud Detection);V.4;Mục đích của Xác thực nhiều yếu tố (MFA) khi đăng nhập tài khoản là gì;Tăng tốc độ xử lý giao dịch để giảm thời gian chờ;Giới hạn số lần đăng nhập;Khóa tài khoản khi đăng nhập sai từ lần đầu tiên;Ngăn chặn truy cập trái phép kể cả khi mật khẩu bị lộ;D;Thông tư 09/2020/TT-NHNN;khoản 14 Điều 2;;;;;;;;;;;;;;;
28;V.4.Phòng chống gian lận (Fraud Detection);V.4;Mục đích của việc hệ thống gửi cảnh báo giao dịch bất thường cho khách hàng là gì?;Nhắc khách hàng cập nhật ứng dụng định kỳ để nâng cao bảo mật và trải nghiệm sử dụng;Đảm bảo tuân thủ quy định về báo cáo giao dịch đáng ngờ cho cơ quan quản lý;Giúp khách hàng kịp thời xác minh và ngăn chặn giao dịch trái phép;Tự động từ chối giao dịch;C;Thông tư 50/2024/TT-NHNN;Điều 18;;;;;;;;;;;;;;;
29;V.4.Phòng chống gian lận (Fraud Detection);V.4;Dấu hiệu nào sau đây được xem là dấu hiệu đáng ngờ trong lĩnh vực ngân hàng?;Giao dịch phát sinh đúng hạn mức tại khu vực khách hàng thường giao dịch;Giao dịch chuyển khoản quốc tế có đầy đủ xác thực và khớp với lịch sử giao dịch;Khách hàng thường xuyên đổi tiền có mệnh giá nhỏ sang mệnh giá lớn;Khách hàng thực hiện giao dịch chuyển tiền quốc tế theo hợp đồng thương mại đã đăng ký;C;Luật Phòng, chống rửa tiền số 14/2022/QH15 -;khoản 8 Điều 28;;;;;;;;;;;;;;;
30;V.4.Phòng chống gian lận (Fraud Detection);V.4;Một hệ thống ngân hàng lưu trữ dữ liệu khách hàng (bao gồm thông tin định danh và số dư tài khoản) dưới dạng không mã hóa với lý do “chỉ sử dụng nội bộ và không kết nối Internet”. Nhận định nào dưới đây là đúng nhất?;Dữ liệu khách hàng cần được bảo vệ kể cả khi lưu trữ nội bộ, bao gồm áp dụng mã hóa hoặc biện pháp bảo vệ tương đương.;Chỉ cần triển khai firewall là đủ để bảo vệ dữ liệu khách hàng.;Không cần mã hóa dữ liệu nếu hệ thống chỉ hoạt động trong mạng nội bộ.;Chỉ cần mã hóa dữ liệu khi truyền qua Internet, không cần mã hóa khi lưu trữ.;A;Dữ liệu khách hàng là dữ liệu nhạy cảm, cần được bảo vệ trong cả quá trình lưu trữ và xử lý, không phụ thuộc vào môi trường nội bộ hay bên ngoài.;Điều 8 Nghị định 356/2025/NĐ-CP;;;;;;;;;;;;;;;
31;V.4.Phòng chống gian lận (Fraud Detection);V.4;Một hệ thống ngân hàng truyền dữ liệu khách hàng giữa các máy chủ nội bộ dưới dạng không mã hóa với lý do “mạng nội bộ là an toàn”. Trong bối cảnh này, nhận định nào là chính xác nhất?;Không cần mã hóa vì dữ liệu chỉ lưu chuyển trong mạng nội bộ.;Dữ liệu vẫn có nguy cơ bị nghe lén hoặc truy cập trái phép nếu không mã hóa, kể cả trong mạng nội bộ.;Chỉ cần mã hóa khi truyền dữ liệu qua Internet công cộng.;Mã hóa chỉ cần thiết với dữ liệu không phải của ngân hàng.;B;Mạng nội bộ vẫn tồn tại rủi ro (insider, tấn công lateral), do đó dữ liệu cần được bảo vệ khi truyền.;Điều 8 Nghị định 356/2025/NĐ-CP;;;;;;;;;;;;;;;
32;V.4.Phòng chống gian lận (Fraud Detection);V.4;Dữ liệu khách hàng được lưu trữ không mã hóa trong hệ thống nội bộ. Điều này không phù hợp với yêu cầu nào?;Yêu cầu tối ưu hiệu năng.;Yêu cầu phân bổ tài nguyên.;Yêu cầu bảo vệ dữ liệu khách hàng khi lưu trữ.;Yêu cầu giao diện hệ thống.;C;Dữ liệu nhạy cảm cần được bảo vệ khi lưu trữ.;Điều 8 Nghị định 356/2025/NĐ-CP;;;;;;;;;;;;;;;
33;V.5.Bảo mật dữ liệu khách hàng ;V.5 ;Một hệ thống ngân hàng phát hiện tài khoản khách hàng đăng nhập từ vị trí địa lý bất thường so với lịch sử sử dụng, nhưng hệ thống không yêu cầu xác minh bổ sung và vẫn cho phép tiếp tục giao dịch. Trong bối cảnh này, nhận định nào là phù hợp nhất?;Không có rủi ro đáng kể nếu khách hàng đã nhập đúng tên đăng nhập và mật khẩu.;Chỉ cần ghi nhận giao dịch vào log, không cần thêm biện pháp kiểm soát nào khác.;Việc không áp dụng xác minh bổ sung khi có dấu hiệu bất thường làm tăng nguy cơ tài khoản bị lợi dụng hoặc bị chiếm đoạt.;Chỉ cần áp dụng biện pháp kiểm soát bổ sung nếu giao dịch có giá trị rất lớn.;C;Khi có dấu hiệu bất thường về hành vi truy cập hoặc giao dịch, hệ thống cần áp dụng biện pháp kiểm soát phù hợp với mức độ rủi ro để bảo vệ tài khoản và dữ liệu khách hàng.;TT50/2024 – Điều 15;;;;;;;;;;;;;;;
34;V.5.Bảo mật dữ liệu khách hàng ;V.5 ;Một nhân viên ngân hàng truy cập hệ thống nội bộ từ xa qua Internet nhưng chỉ sử dụng tên đăng nhập và mật khẩu, không có xác thực đa yếu tố hoặc biện pháp xác thực bổ sung. Cách triển khai này tiềm ẩn vấn đề gì?;Việc không áp dụng xác thực bổ sung cho truy cập từ xa làm tăng nguy cơ bị chiếm đoạt tài khoản khi thông tin đăng nhập bị lộ.;Không có rủi ro nếu người dùng đặt mật khẩu đủ dài và thay đổi định kỳ.;Chỉ cần áp dụng xác thực bổ sung khi truy cập từ thiết bị lạ hoặc từ nước ngoài.;Không cần xác thực bổ sung nếu người dùng truy cập để xem thông tin, chưa thực hiện giao dịch.;A;Thông tư 09/2020/TT-NHNN;khoản 6 Điều 29;;;;;;;;;;;;;;;
35;V.5.Bảo mật dữ liệu khách hàng ;V.5 ;Một hệ thống ngân hàng cho phép xuất dữ liệu khách hàng ra file Excel nhưng không kiểm soát nội dung, phạm vi dữ liệu hoặc mục đích sử dụng của dữ liệu đầu ra. Điều này không đáp ứng yêu cầu nào?;Yêu cầu tối ưu hóa khả năng khai thác dữ liệu để phục vụ công việc nội bộ.;Yêu cầu bảo vệ dữ liệu khách hàng trong toàn bộ vòng đời xử lý, bao gồm cả khi trích xuất hoặc cung cấp dữ liệu đầu ra.;Yêu cầu tăng tốc độ xử lý dữ liệu bằng cách bỏ qua bước kiểm soát nội dung file xuất.;Yêu cầu đơn giản hóa thao tác người dùng để giảm áp lực cho bộ phận hỗ trợ kỹ thuật.;B;Dữ liệu đầu ra cũng là một phần của quá trình xử lý dữ liệu khách hàng và phải được kiểm soát tương tự như khi lưu trữ hoặc truyền tải.;Điều 8 Nghị định 356/2025/NĐ-CP;;;;;;;;;;;;;;;
36;V.5.Bảo mật dữ liệu khách hàng ;V.5 ;Đâu không phải là kỹ năng số cơ bản dành cho cán bộ, công chức, viên chức, người lao động trong cơ quan nhà nước?;Đánh giá độ tin cậy của thông tin;Nhận biết và xử lý thông tin sai lệch do AI tạo ra;Nhận diện và xử lý thông tin giả mạo, sai lệch trong lĩnh vực quản lý nhà nước;Chia sẻ thông tin chưa được kiểm chứng lên mạng xã hội;D;Quyết định 757/QĐ-BKHCN;II.1, Phụ lục I.3;;;;;;;;;;;;;;;
37;V.5.Bảo mật dữ liệu khách hàng ;V.5 ;Đâu không phải hành vi sử dụng AI nhằm mục đích lừa đảo trên không gian mạng?;Giả mạo hoặc mô phỏng người thật để lừa dối một cách có chủ đích;Tạo ra hoặc phổ biến nội dung giả mạo có khả năng gây nguy hại nghiêm trọng đến an ninh quốc gia, trật tự, an toàn xã hội;Sử dụng AI để hỗ trợ phân tích dữ liệu và nâng cao hiệu quả công việc;Dùng AI để thao túng nhận thức, hành vi của người khác, gây tổn hại nghiêm trọng đến quyền và lợi ích hợp pháp của con người;C;Luật Trí tuệ nhân tạo số 134/2025/QH15;khoản 2 Điều 7;;;;;;;;;;;;;;;
38;V.5.Bảo mật dữ liệu khách hàng ;V.5 ;Theo Thông tư 50/2024/TT-NHNN (được sửa đổi, bổ sung bởi Thông tư 77/2025/TT-NHNN), các tổ chức cung ứng dịch vụ ngân hàng trực tuyến phải triển khai các biện pháp kiểm soát nào nhằm giảm thiểu rủi ro trong giao dịch của khách hàng?;Thông báo giao dịch qua tin nhắn SMS hoặc thư điện tử.;Thiết lập hạn mức giao dịch theo giá trị và loại giao dịch nhằm kiểm soát rủi ro.;Áp dụng cơ chế xác thực nhiều yếu tố (MFA) và kiểm soát truy cập phù hợp với mức độ rủi ro.;Cả ba đáp án trên;D;"Thông tư 50/2024/TT-NHNN;
Thông tư 77/2025/TT-NHNN)";"Điều 7 TT50,
Điều 10 TT50, Điều 6 TT77";;;;;;;;;;;;;;;
39;V.6.Phòng chống lừa đảo trên không gian mạng;V.6;Theo thông tư 77/2025/TT-NHNN ngày 31/12/2025, Ứng dụng Mobile Banking phải tự động thoát hoặc dừng hoạt động và thông báo cho khách hàng lý do nếu phát hiện một trong các dấu hiệu sau:;Có trình gỡ lỗi (debugger) được gắn vào hoặc môi trường có trình gỡ lỗi đang hoạt động;Phần mềm ứng dụng bị chèn mã bên ngoài ứng dụng khi đang chạy, thực hiện các hành vi như theo dõi các hàm được chạy, ghi lại log dữ liệu truyền qua các hàm, API.... (hook);"Thiết bị đã bị phá khóa (root / jailbreak); hoặc bị mở khóa cơ chế bảo vệ (unlockbootloader)";Cả ba đáp an trên;D;Thông tư 77/2025/TT-NHNN;khoản 2 Điều 5;;;;;;;;;;;;;;;
40;V.6.Phòng chống lừa đảo trên không gian mạng;V.6;Theo thông tư 50/2024/TT-NHNN ngày 31/10/2024, thời gian quy định thực hiện triển khai cập nhật các bản vá bảo mật hoặc các biện pháp phòng ngừa kịp thời đối với lỗ hổng mức nghiêm trọng là?;"Trong vòng 01 ngày đối với thành phần hệ thống kết nối trực tiếp với Internet; trong vòng 01 tháng đối với các thành phần còn lại sau khi lỗ hổng được công bố hoặc phát hiện.";"Trong vòng 02 ngày đối với thành phần hệ thống kết nối trực tiếp với Internet; trong vòng 01 tháng đối với các thành phần còn lại sau khi lỗ hổng được công bố hoặc phát hiện.";"Trong vòng 01 ngày đối với thành phần hệ thống kết nối trực tiếp với Internet; trong vòng 02 tháng đối với các thành phần còn lại sau khi lỗ hổng được công bố hoặc phát hiện.";"Trong vòng 02 ngày đối với thành phần hệ thống kết nối trực tiếp với Internet; trong vòng 02 tháng đối với các thành phần còn lại sau khi lỗ hổng được công bố hoặc phát hiện.";A;Thông tư 50/2024/TT-NHNN;khoản 6 Điều 14;;;;;;;;;;;;;;;
